name,composers,premiere_date,premiere_place,Language,year,librettist,summary
La mère coupable,Darius Milhaud,13 June 1966,Grand Théâtre de Genève,French,1966,Madeleine Milhaud," is an  in three acts, . 412, by  to a  by  after  in ’ .  It premiered at the  on 13 June 1966.

"
La Cenicienta,,,,,1966,,
Carry Nation,Douglas Moore,"March 28, 1966",University of Kansas Hall,English,1966,W. N. Jayme," is an  in a prologue and two acts by composer  which is based on the life of temperance activist , whose sometimes spelled her first name ""Carry"". The work uses an English-language  by . The opera was commissioned by the  in commemoration of the school's 100th anniversary. The premiere performance was given at KU's Murphy Hall on March 28, 1966  with a cast headlined by four professional opera singers brought in for the event, and the supporting cast supplied by KU's music and theatre students. Lewin Goff staged the production and Robert Baustian conducted. The opera was subsequently given its first professional production at the  in June 1966 under the baton of . The  mounted the first New York production in March 1968 and released a recording of the work in 1969. All three of these initial stagings and the recording starred mezzo-soprano  in the title role.
"
,,,,,1966,,
Der schlimm-heilige Vitalis,,,,,1962,,
The Passion of Jonathan Wade,Carlisle Floyd,"November 10, 1962",New York City Opera,English,1962,Floyd," is a musical drama, or , in three acts by the American composer , who wrote both  and music. Commissioned by the , it was Floyd's most epic opera, set in South Carolina during the . It was premiered at the  on October 11, 1962, directed by  and conducted by . Floyd revised it in 1989 for performances at four major opera houses in the U.S., beginning at the .
Carlisle Floyd composed  on a commission by the . The opera's plot was invented by Floyd, based on an idea suggested by his wife, set in South Carolina during the . It became Floyd's most epic opera. The music embraced tonality and traditional musical idioms such as the .
 was premiered at the  on October 11, 1962, directed by  and conducted by . , ,  and  starred in a large cast.
After the first production, the opera languished for several decades. In 1986 Floyd, who had taught at the  since 1976, listened to a tape of the 1962 performances, together with , general director of the  (HGO), and its music director, . They immediately began discussing a revision and new production of the opera. Julius Rudel told David Gockley in 1987 that  was one of the two new operas Rudel had presented at New York City Opera which deserved revival. Floyd thoroughly revised the opera over the course of two years following a co-commission by the HGO and the . Joseph Glatthaar of the  served as historical consultant. The music, by a composer with a more eclectic taste than before, features more  and .
The revised version premiered at the Wortham Center for the Performing Arts in Houston on January 18, 1991, conducted by John DeMain, directed by Carlisle Floyd, and designed by  and Allen Charles Klein. It was subsequently presented at Greater Miami Opera, , and .

The Civil War is over. The citizens of Columbia, South Carolina, lament the sorrow and horror of the war. Colonel Jonathan Wade, with his aide, Lieutenant Patrick, leads the Northern troops of occupation into Columbia and greets Judge Townsend with kindness, but the Judge's daughter, Celia, scorns Jonathan.
The judge invites Jonathan to his home and describes the residence's beauty before the war and its mistreatment by Sherman's troops. The maid, Nicey, deems Jonathan a good man, but Celia denounces him for not understanding the depth of Southern suffering. Jonathan bitterly reveals his own losses from the war, and the two young people begin to understand one another.
Northern pardon brokers selling citizenship to ex-Confederates arouse the indignation of Judge Townsend. Lucas Wardlaw, a hotheaded Southerner, expresses the resentment for Northern reformers. With the arrival of Enoch Pratt, chief of the Freedmen's Bureau, tensions erupt. An evening party at the Townsends' home disintegrates as the Southern citizens furiously refuse to submit to the Northern reforms preached by a fervent Pratt.

Several months later, during a confrontation with Jonathan, Lucas demands back his old way of life, the way of privilege and slavery. Enoch Pratt insists that Judge Townsend be removed from the bench and that the Radical Republicans should use reform as a means of securing future political power. Jonathan sees the shortcomings of all the extremists' demands.
Celia confesses her love for Jonathan, but Lucas taunts the couple with hints of vigilante reprisals. Jonathan's appeal to higher authority to spare Judge Townsend is denied, and he undergoes an agony of conscience. He announces to the Townsends the Judge's dismissal. Judge Townsend rages violently against Jonathan; Celia, though torn between her love for Jonathan and her father, accepts Jonathan's offer of marriage. Her father renounces her.
At the wedding, Nicey sings a spiritual about the wedding feast at Canaan. The Guardian Knights of White Men's Rights harass Nicey and her friends, but Nicey bravely faces them down. Jonathan and Celia try to shelter themselves from the world with their love.

Jonathan's attempts to remain impartial have only angered both Northerners and Southerners. Pratt accuses Celia of influencing the Colonel and enlists Lieutenant Patrick in a plot to destroy Jonathan. Judge Bell, Judge Townsend's replacement, resigns in disgust at the political corruption, and Jonathan loses his last ally.
Pratt tries to provoke Jonathan into insubordination and court-martial, and an order arrives commanding Jonathan to confiscate all of Judge Townsend's possessions. Celia and Jonathan react in anger, fear, and confusion; they yearn for another time and another place where they might find peace. Jonathan decides to desert. Townsend publicly denounces the North, and Jonathan and Celia discover that Lieutenant Patrick has carried out the order of confiscation. Sensing a trap, they plan to escape the country. Suddenly, Jonathan's guards capture three Guardian Knights, Lucas among them, about to burn a torch on Wade's lawn.
In the middle of the night, the full contingent of Guardian Knights arrive to free Lucas, while Union soldiers, led by Pratt and Patrick, also surround the house before attempting to arrest Jonathan for insubordination. Shots are fired, and Jonathan is killed; both sides begin to blame each other. Kneeling by Jonathan's side, Celia silences them, accusing both sides of the murder of a good and decent man. Nicey prays that God accept Jonathan into heaven.
Main roles and premiere casts are given for both the premiere in New York City in 1962, conducted by Julius Rudel, as the revised version in 1990 in Houston, conducted by . 
"
Longing for Husband Cloud,,,,,1962,,
What Price Confidence?,Ernst Krenek,23 May 1962,Theater Saarbrücken,English,1962,Krenek," (translated as , or ) is a  in nine scenes with music and libretto by , his . 111. This ""little drawing room comedy"" is set in London at the turn of the 20th century, and features a protagonist not unlike Max in , as the author points out in a preface; it owes something to  as well (specifically """"), as do his next two operas.
Composed during the winter of 1944–45 in , it was Krenek's second attempt at an American opera and employed only four singers and piano. It shared the fate of  in only reaching a belated premiere in Germany (Saarbrücken, 23 May 1962), but this time Krenek was sufficiently satisfied with his work to publish it with Bärenreiter (BA 4301), remarking that the  singers who requested a touring piece simply couldn't find time for a hoped-for performance. It is now given fairly often.
Gloria is upbraiding Edwin for his suspicious nature: ""You dont even trust yourself!"" He resolves to give his entire trust to the next person who asks for it, as a kind of experiment to determine whether she is faithful. Meanwhile, Richard is perturbed by Vivian's complete lack of jealousy. ""I have every confidence- in myself...If I wern't myself, I dont know that I should trust you"". After he leaves she admits some doubt and resolves on a life or death experiment to see if she can fill another with the same confidence.
Beneath the  tail in the , Gloria sets one condition before she will go to Paris with Richard: he must first awaken Edwin's sense of confidence. He meets Edwin (who doesn't know him) at a club and forces him to accept a check for £1,000 as a gambling debt, and then hurries back to the dinosaur. Gloria is at first incredulous (of course) and then horrified, insisting that he at least cover the check. Meanwhile, Vivian finds Edwin about to jump from , the check having bounced. She tells him of her own decision to jump unless she can lend him confidence, and persuades him that their meeting was fate's true answer to his question. He agrees to call the next day.   Richard searches for Vivian's jewellery by candlelight, barely succeeding before she comes in. The next day Edwin announces he's going out to , and Gloria is astonished to feel a pang of jealousy.
Vivian quizzes Richard about the missing jewellery she wanted to put on, having guessed why he was holding a candle the night before. When she hears about a check for £1,000 she is struck by the coincidence, just as Richard is surprised to see Edwin approach the gate. Vivian demands the pawn check and hides him, then welcomes Edwin and invites him to withdraw to another chamber. Gloria arrives, having tailed Edwin, in time to join Richard's jealous tirade. The other two emerge and introductions are made, the check is exchanged for the pawnticket, Edwin expresses his desire to see Paris, and Vivian her intention to join him. ""There's nothing so precious as confidence!"" ""Yes...of course...but who will pay the price?""
"
"Highway 1, USA",,,,,1962,,
King Priam,Michael Tippett,29 May 1962,Arts festival in Coventry,English,1962,Tippett," is an opera by , to his own libretto. The story is based on Homer's , except the birth and childhood of Paris, which are taken from the  of .
The premiere was on 29 May 1962, at . The opera was composed for an arts festival held in conjunction with the reconsecration of the rebuilt , for which  also wrote his , which was first performed in the Cathedral the day after the premiere of .
The first  performance was on 5 June, conducted by . It was premiered in Germany at the  in 1963 (in a translation by ), in Greece at the 1985 , in France at the  in 1988, in Italy at  in 1990, and in the United States  in 1994. In 2014 the work was revived by , with a reduced  by , the first performance of this version being given at the  at the  on 13 February 2014.
As epigraph to the score Tippett placed the German words ""Es möge uns das Schicksal gönnen, dass wir das innere Ohr von dem Munde der Seele nicht abwenden,"" or, ""May Fate grant that we never turn our inner ear away from our soul's lips."" These words conclude a 1912 essay on the paintings of  by .
 takes a private view of the events of the , focusing on individual moments of moral choice. The opera begins soon after the birth of Paris, when an Old Man prophesies that the baby will grow up to cause his father's death. Queen Hecuba immediately declares that her child must be killed. Priam hesitates, but reflects, ""What means one life when the choice involves a whole city?"" and gives the baby to the Young Man to be abandoned on a mountainside.
Left alone, the Old Man, the Young Man, and the child's Nurse discuss Priam's choice. These three characters will return throughout the opera to comment on the action from their differing perspectives. Sensing Priam's true feelings the Young Man does not kill the baby, but gives him to shepherds to raise as their own.
Years later, Priam is hunting on the mountain with his eldest son, Hector. Hector attempts to subdue a wild bull, but a strange child leaps onto its back and rides away. The child returns, asks to join Hector among the heroes of Troy, and says his name is Paris. Priam is filled with joy that his secret wish was fulfilled, and he welcomes Paris back to Troy as its prince, whatever the consequences may be. The Nurse and the Old and Young Man observe this reversal with foreboding, but are interrupted by revellers at the wedding of Hector and Andromache. The guests gossip that Hector and Paris never became friendly, and that Paris has left Troy for the court of Menelaus in Sparta.
In Sparta, Paris and Helen have already become lovers. Paris wonders if there is any choice in life at all - he feels pulled irresistibly toward Helen by a force greater than himself. As if in answer to his question, the god Hermes appears, and instructs him to choose between three goddesses: Athene, Hera, and Aphrodite, whose roles are sung by Hecuba, Andromache, and Helen. Athene/Hecuba offers Paris glory in war, Hera/Andromache offers domestic peace, but Aphrodite/Helen simply says his name, and he responds with hers, his choice made unconsciously. The other two goddesses curse him, foretelling the doom he will bring to Troy.
Troy is under siege. In the city, Hector taunts Paris with cowardice for having run away from Menelaus in battle. Scolded by Priam, the brothers return to the fight together. The Old Man, fearful for Troy, calls on Hermes and asks to be shown Achilles, hero of the Greeks.
Achilles has withdrawn from battle, and the scene in his tent is a peaceful one, as he sings to his friend Patroclus a lyrical song of their home, ""O rich soiled land,"" accompanied by solo guitar. But Patroclus is ashamed that Achilles will not fight, and asks to be allowed to go into battle wearing Achilles' armor, so that the Greeks will take hope from the sight of their greatest warrior. Achilles agrees, and offers a libation to the gods for Patroclus' safety.
Watching invisibly under the protection of Hermes, the Old Man begs the god to warn Priam of the danger, but in Troy, Paris is already announcing to the king that Hector has slain Patroclus in single combat. The father and sons sing a trio of thanks for the victory, but they are interrupted by the chilling sound of Achilles' war-cry, taken up and echoed by the Greek army. Greece's greatest warrior has returned to the field in a berserk fury.
In Hector's bedchamber, Andromache sits and waits for her husband. She remembers with terror the day Achilles killed her father and brothers. Queen Hecuba enters and tells her to save Hector by going to the walls of Troy and calling him out of battle. Andromache refuses, asking why Priam will not end the war by returning the stolen Helen to her own husband. Hecuba scoffs that no war was fought for a woman: Helen may be the pretext, but the great city of Troy is the Greek's real prize. Helen herself now enters, and Andromache relieves her feelings with a volley of insults. Helen responds with a virtuoso aria claiming that erotic passion is greater than either morality or politics, that her love ""touches Heaven, because it stretches down to Hell."" Finding no comfort in sisterhood, the three women make separate prayers, each to the goddess she represented in the first act.
Helen and Hecuba go, and a serving-woman enters to ask if she should light the fire for Hector's evening bath. Denying her instinctive knowledge of his death, Andromache answers ""Yes...yes,"" but her slave mockingly echoes ""No...no,"" as the servants are first to hear all the bad news. Andromache runs out in despair, and the serving-woman is joined by a chorus of slaves who comment cynically: ""We could tell the story too, the pathetic story of our masters, viewed from the corridor.""
Paris brings King Priam the news of Hector's death. Priam curses his surviving son, wishing him dead as well, and Paris goes, swearing not to return until he has killed Achilles in revenge. Alone, Priam weeps that the Old Man years ago spoke only of his own death, not of Hector's. The Old Man, the Young Man, and the Nurse appear and question the king: ""One son to live by another's death, is that the law of life you favour?"" Priam weakly tries to answer ""Yes...yes,"" but an unseen chorus replies ""No...no"": his heart's answer.
Hermes guides Priam to Achilles' tent. In a quiet scene, Priam kisses Achilles' hands, ""the hands of him who slew my son"" and begs to be given Hector's body for burial. Achilles agrees, and the two look ahead to their own deaths: Achilles to be killed by Paris, and Priam to be killed by Neoptolemus, Achilles' son.
Troy is in ruins. Priam refuses to leave his city, and one by one his family leaves him. His last farewell is with Helen, to whom he speaks gently. There is a moment of stillness before Achilles' son appears to strike the killing blow and Hermes, the drama over, departs for Olympus.
"
The Juggler of Our Lady,,,,,1962,,
The Flood,Igor Stravinsky,1962,Santa Fe Opera,English,1962,Robert Craft," (1962) is a short biblical drama by  on the , originally conceived as a work for television. It contains singing, spoken dialogue, and ballet sequences. It is in Stravinsky's late,  style.
The work was premiered in the  on the CBS Television Network on 14 June  1962, a production conducted by  and choreographed by . Dramatic actors participating in the work included  (narrator),  (Noah), and  (Noah's wife, which Lanchester played with a Cockney accent). Robert Craft also conducted the first staged performance, by the  in  in 1962, and again in  on 30 April 1963.
The narrative of  juxtaposes the story of the  with that of . The text was compiled by  using material from  and the  and  of . Excerpts from the  are sung by the chorus.
The work is scored for  soloist (/), two  soloists (), several spoken parts (a narrator, , , , a caller, Noah's wife, son of Noah),  (SAT) and a large  of 3  (3rd doubling ), , 2 , , 2 , , , 2 , , 4 , 3 , 3  (1st doubling ), , , , , , 3 , , ,  and .
 was published in 1963 by .
The work is in seven parts:
"
The Young Kabbarli,Margaret Sutherland,August 1965,Theatre Royal in Hobart,English,1964,Maie Casey," is a one-act  written in 1964 by the  composer ; it is her only work in the operatic genre.  The libretto was by , based on poetry by  and .
The plot is based on an episode in the life of the Irish-Australian welfare worker and anthropologist . Bates was given the affectionate name 'Kabbarli', meaning 'grandmotherly person'.
 has four singing roles (soprano, mezzo-soprano, tenor, bass) and three non-singing roles.
It is scored for 2 flutes, 2 clarinets, bassoon, horn, percussion (castanets, wood block, sticks, flints, wooden shaker), piano, viola, and double bass.
 was premiered in August 1965 at the Festival of Contemporary Opera and Music, at the Theatre Royal in , as a companion piece to 's .  Sitsky's piece was well-received, Sutherland's less so.
It received performances by the  in  and in  in 1972.
 was recorded in 1973 at , Adelaide.  It was the first Australian opera recorded in Australia, and it was the first  disc made in Australia.  The singers were , mezzo-soprano, Daisy Bates/Kabbarli; , baritone, Goondowell; , soprano, Goondowell's wife Yoolbian; , bass-baritone, Trappist Brother;  (as David Gumpilil), Aboriginal singer; New Opera of South Australia, conducted by .
"
Atlántida," by , Manuel de Falla",18 June 1962,"Teatro alla Scala, Milan",Catalan,1962,," () is an  (titled a 'cantata escénica') in a prologue and three parts, by , based on the Catalan poem  by . Falla worked on the score for twenty years but had not completed it at his death in Argentina in 1946; his disciple  prepared the score for performance.
Verdaguer brought together pre-history and history: a child (Christopher Columbus) is the sole survivor of a shipwreck of a Genoese boat off the Spanish coast. After reaching shore, he is adopted by a hermit who recounts the history of the earth and seas. He begins the legend with Alcide (Hercules) arriving from Greece to attack the Atlanteans reaching the Spanish side of the Pyrenees. He finds a huge fire started by Geryon, a three-headed African monster. King Tubal of the Pyrenees is killed and his daughter Pyrene gives her father to Alcide imploring him to set forth to kill the monster, before dying. Alcide decides to make a port where a white barque (barca) had landed. After arriving in Cadiz from Barcelona, Alcide goes to the Hesperides, finding the orange tree, Atlas's widow and three daughters, and kills the dragon wrapped on the tree defending the entry to the continent. The Hesperides die (ascending to the heavens as the Pleiades) and Alcide returns to Cadiz; he kills Geryon and sees the waters break over Mount Calpe and rush over Atlantis. Still accompanied by the hermit, the adult Columbus dreams of unlocking the mystery of Atlantis and appeals to Queen Isabella of Spain who gives him jewels to pay for his venture. The old man bids Columbus to fly.
 started in 1926 as a , but grew over 20 years to become a full opera. The poem suited him as he responded fully to its blend of mythology and primitive Iberia, and the setting of Cadiz, his home city. He visited many of the sites referred to in the epic: , , the temple of Hercules, ,  and its .
Falla died in Argentina before he finished the work, leaving a loose collection of sketches. The long work of editing and completion was undertaken by Ernesto Halffter. The music shows the influence of classical models from Spanish polyphony, 17th century monody, and of 16th century or earlier choral writing.
It is not a true opera, more a stage cantata, where the chorus takes a principal role, interrupted by Coryphaeus as the narrator. Sometimes this narration of the action is depicted on the stage by the appropriate characters (some singers, some – Hercules and Columbus – actors).
When finally completed, large extracts were performed in a concert version at the , Barcelona in November 1961, conducted by , with  as Isabella, and in Cadiz. The following June it was presented in a staged production at , Milan, in Italian, under the baton of  with ,  and  and produced by , (according to the  reviewer this performance took three hours.)  then in Berlin and Buenos Aires, and America conducted by . The score was withdrawn by Halffter after this while he made further revisions; a shorter version was heard in concert form in Lucerne in 1976 and a longer definitive version heard at the Granada Festival the following year prior to a studio recording at the .
The opera has three major singing roles: the narrator Corifeo (), an old man who tells  of the sinking of , Queen  (), and  (), then minor roles such as the three-headed  (three tenors).
In the first part, Christopher Columbus, as a boy, is shipwrecked on an island. To console him an Old Man tells him the legend of Atlantis, the fabled land wiped out by Hercules and submerged at the bottom of the sea off the coast of Spain. To the spot — the Pillars of Hercules — Columbus, now a grown man, comes and dreams of crossing the ocean. Isabella of Spain provides him with the means and he discovers the New World and claims it for Christendom. The work is both an epic of Catholic Spain and its mission in the world, but treated with poetic dignity and classical restraint.
A live recording of the 1962 stage premiere at La Scala in Milan was issued by Memories HR on two CDs in 1993.
"
The Alcestiad,Louise Talma,1 March 1962,Oper Frankfurt,,1962,Thornton Wilder," is an opera in three acts by  to a libretto that  wrote based on his 1955 play of the same name. It premiered in German as  at the  on 1 March 1962. It was the first full-length opera by an American woman staged at a major European opera house.
The American composer  collaborated with , who created the  based on his 1955 play  which was in turn based on  by Euripides. It was Wilder's idea to set the plot to music and approach Talma. She delivered sketches already in 1955, which Wilder approved. Talma composed the work in three acts and used .
Wilder managed to interest  of the  in the world premiere. Wilder, who was awarded the  (peace prize of the German book trade) in 1957, was well received in Germany. The opera premiered on 1 March 1962 at the , in a German version  by Herberth Herlischka. It was directed by , and conducted by . It was the first full-length opera by an American woman staged at a major European opera house. The first performance was a success, covered by the international press, including  and the . Critics from the  and the  wrote that, while the music was skillfully crafted, the libretto was ""too strong"" for music. The music was described as influenced by ,  and , with ""harsh brass dissonances and shattering percussion effects"".
The opera remained Talma's only composition for the stage.
"
Martin's Lie,Gian Carlo Menotti,3 June 1964,Bristol Cathedral,English,1964,Menotti," is a  in one act with music and an English language  by . Commissioned by , it was Menotti's third opera for television after  and . Although not initially conceived as a work for the stage, the opera premiered in a live theatrical performance on 3 June 1964 at the  for the opening of the 17th annual . The opera was subsequently filmed with the same cast for television under the direction of  with  serving as host. The production used sets and costumes by designer , and was broadcast nationally by CBS for the opera's United States television premiere on 30 May 1965. 
The first live performance of the opera in the United States was at the  in 1976, with  conducting both  and the world premiere of Menotti's . The cast included Gene Tucker as Father Cornelius, Simon Jackson as Martin, Richard Dirksen as the Fugitive, Dana Krueger as the Housekeeper, and Gimi Beni as the Sheriff.
Setting- An orphanage in medieval Germany
Martin, a 12‐year‐old orphan boy, deeply desires to have a father. An escaping heretic enters the orphanage in order to hide from his pursuers. Martin hides him and forms an emotional attachment to the stranger. Martin is questioned and threatened by the sheriff who is pursuing the stranger, and he lies to protect him. Martin ultimately becomes so frightened by the threats that he is literally scared to death. His refusal to betray the stranger out of love and faith makes Martin ""a figure of moral power, an image of redemption. Father Cornelius, the well intentioned, ineffectual shepherd of the orphans, makes the summary point—the force of love is stronger than any sin.""
"
Montezuma,,,,,1964,,
Gilgamesh,,,,,1964,,
English Eccentrics,,,,,1964,,
Don Rodrigo,Alberto Ginastera,24 July 1964,Teatro Colón,,1964,Alejandro Casona," is an  in three acts by , the composer's first opera, to an original   by .  Ginastera composed the opera on commission from the Municipality of the City of , .  The first performance was at the , ,  on 24 July 1964 with  in the title role. The production was directed by Jorge Petraglia and conducted by .
On February 22, ,  had his international breakthrough by singing the title role of this opera at the US premiere of the work by the . Other cast members included Jeannine Crader as Florinda,  as Teudiselo, the king's tutor, and David Clatworthy as Don Julian, Florinda's father.  conducted, and the opera received 9 performances at New York City Opera. In November 1967 the production was also given, still with , on tour at the  in .  Ginastera prepared from the opera a concert work for soprano and orchestra, which received its own first performance in October 1964.
Malena Kuss has published a detailed study of Ginastera's use of motives and of Argentine musical idioms in the opera.  Pola Suares Urtubey has published an analysis of the dramatic structure of the opera.
The setting is  in the 8th century.  A note is that Don Rodrigo is also the  name for , the last  king of .  The three acts of the opera are divided into nine scenes linked by interludes, with labeling of the scenes as follows:



The scenes mirror each other in a format resembling a dramatic palindrome, with Scene 1 mirrored in Scene 9, Scene 2 mirrored in Scene 8, and so on, with Scene 5 forming the dramatic climax and fulcrum of the story.
At the start, Don Rodrigo has avenged an attack on his father.  He is then about to be crowned King of Spain.  Don Julian, Governor of Ceuta in Africa, introduces the King to his daughter Florinda.  Rodrigo promises Don Julian that he will look after her as a daughter if she is permitted to stay at the royal court.  At the coronation of Rodrigo, Florinda drops the crown.  Although some regard this accident as a baleful sign, Rodrigo then retrieves the crown and places it on his own head.  Historically, a chest in the Vault of Hercules has contained a locked mystery, which every King of Spain has respected since ancient times.  However, Rodrigo opens the locked chest, where he sees the secret in the form of an Arab flag and a curse.  The curse states that he who has opened the chest will be the last of his dynasty and that the Arabs will enslave Spain.
Later, Florinda bathes in a fountain, which Rodrigo sees.  He goes to Florinda’s bedroom at night, and forces himself on her.  Rodrigo then abandons her.  Florinda writes to her father, angrily calling for revenge on Rodrigo.
Don Julian raises a rebellion against Don Rodrigo.  At the battle at Guadalete, Don Julian is victorious against Don Rodrigo, which allows the Moors to enter Spain, fulfilling that part of the curse.  Rodrigo becomes a penniless vagrant, and eventually finds shelter with a blind hermit.  Florinda eventually discovers Rodrigo there.  Rodrigo confesses his sins, and finally dies in Florinda's embrace.
"
Curlew River,Benjamin Britten,13 June 1964,"Church of St Bartholomew, Orford, Suffolk",,1964,William Plomer," (Op. 71) is an English music drama, with music by  to a libretto by .  The first of Britten's three 'Parables for Church Performance', the work is based on the Japanese  play  (Sumida River) of Juro Motomasa] (1395–1431), which Britten saw during a visit to Japan and the Far East in early 1956. Beyond the  source dramatic material, Britten incorporated elements of  treatment of theatrical time into this composition.  marked a departure in style for the remainder of the composer's creative life, paving the way for such works as ,  and the .
Plomer translated the setting of the original into a Christian , set in early medieval times near the fictional Curlew River, in the  of . Peter F. Alexander has investigated in detail the librettist's contribution to the work, through study of the letters between Plomer and Britten. Mikiko Ishi has done a comparative study of the 'weeping mother' figures in , , and various religious plays from medieval Europe. Daniel Albright has examined Britten's and Plomer's adaptations of aspects of the  original into the context of their own cultural and religious backgrounds in the creation of .
Under 's direction, the work was premiered on 13 June 1964 at , , England, by the . The original cast included Britten regulars  and . The United States premiere was presented at the  on 26 June 1966, with  as the Madwoman.
 opens, as do the other two Church Parables, with a , to the hymn  (), in which all performers, including the musicians, walk to the performance area and take their places. At a cue from the organ, the Abbot, who acts as a narrator, introduces the ""mystery"" to be presented. The monks who depict the principal players don their costumes to stately instrumental accompaniment after which the play commences.
The Ferryman sings of a memorial service that will be held that day at a shrine across the river. A Traveller approaches, wishing to cross the Curlew River. The Ferryman delays his departure when they hear the Madwoman approaching. She has gone mad because of grief for her son, who disappeared a year ago. Though the Ferryman is initially reluctant to carry the Madwoman, the other characters take pity on her and persuade him to give her passage. As they cross the river, the Ferryman tells the story of the shrine: it is the burial place of a boy who arrived the year before with a cruel master who had kidnapped him from his home near the Black Mountains. The boy was sick, and his master abandoned him by the river. Despite being cared for by the locals, the boy died. The Ferryman recounts the boy's words:
The river people believe that the boy's grave is sacred, that:
As the Ferryman tells his story, it becomes clear that the boy he describes is the child of the Madwoman. Grief-stricken, she joins the rest of the cast in praying at the boy's graveside. At the climactic moment when all the men are chanting together, the voice of the boy (a treble) is heard echoing them, and his spirit appears above the tomb to reassure his mother:
At this point, the Madwoman is redeemed and her madness lifts. Britten depicts the moment with the Madwoman letting out a joyful, melismatic ""Amen"", the final note of which resolves onto a long-delayed unison with the full cast – a signal of return and acceptance.
Here the robing ceremony music returns, as at the start, and the players resume their normal dress. The Abbot reiterates the moral, and bids the audience farewell. The full cast then recess to the same plainsong with which the work began.
At the premiere performance the instrumentalists included flutist , horn player , violist , double bass player , harpist , organist  and percussionist .
The singers are accompanied by a small group of instrumentalists, dressed as lay brothers. The work is scored for:
Unusually, there is no conductor in the work—instead, the instrumental performers lead among themselves; the places at which each instrument is to lead are marked in the score. The lack of a conductor allows Britten to dispense with a universal tempo, the performers often instead playing in two or more separate groups at separate tempi, comparable to the sound of the music of a Nobayashi ensemble in Noh plays. This leads to another unusual notational device, the 'Curlew sign', which is used to 'resynchronise' previously separate groups of musicians by instructing one to sustain or repeat notes 'ad lib' until a given point has been reached in the music of another group. The harp part is heavily influenced by music for the koto and the chamber organ part features extensive use of , which are derived from the , an ancient Japanese free-reed mouth organ used in  court music. (Britten had become acquainted with this instrument while in Japan for two weeks in February 1956.)
Britten's chief compositional technique in  is , which he uses to extraordinary dramatic effect. It permeates all aspects of the work's composition, with textures derived from short, decorative couplings, or long, unsynchronised layers of melody. The opening plainsong ('Te lucis ante terminum') suggests many of the melodic shapes throughout the Parable.
As in many of Britten's other dramatic works, individual instruments are used to symbolise particular characters. In , the flute and horn are used most clearly for this purpose, symbolising the Madwoman and Ferryman respectively. With such a small orchestra, Britten does not use the 'sound worlds' that are clearly demonstrated in his  and , nor the dramatic change in orchestral timbre (with the entry of the celesta and vibraphone, respectively) that accompanies the appearances of Quint in  or Tadzio in .
The composer and Viola Tunnard supervised the first commercial recording of the work, for Decca (Decca SET 301), with the following singers:

"
Alexandre bis,Bohuslav Martinů,18 February 1964,Nationaltheater Mannheim,French,1964,André Wurmser,"  ( in ;  in ) is a   in one act by , ( 255), composed in 1937 to an original  written in  by André Wurmser.  
The opera was intended by Martinů, who was then living in Paris, for performance at the . However, various delays (including the intervening ) prevented its performance during the composer's lifetime.
The opera's first performance was given at the  on 18 February 1964, when it was conducted by Georg Calder. Shortly afterwards it was given its first performance in Martinů's native  by the Brno Janáček Opera. 
The opera is subtitled 'The Tragedy of a Man who Had His Beard Cut', and the surrealist libretto is set in Paris about 1900. Although Martinů had asked Wurmser for a libretto including a singing cat, he compromised on Wurmser's suggestion of a singing portrait, which acts as narrator to a tale of bourgeois infidelity.
The opera takes place in a bourgeois salon in Paris around 1900. The maid Philomène is cleaning and complaining about her life. The husband Alexandre, bearded, asks Philomène to bring in a suitcase and secretly leaves, allegedly for the station, crossing his cousin of the same name from America. Alexander's portrait on the wall is outraged by the game of betrayal. Oscar, a man Armande had met on holiday, comes to visit her. He is dressed in sportswear and offers her a lesson in cycling. Armanda rejects his courtship, pointing out that she is polite and respectable. Oscar leaves.
The beardless Alexander-cousin arrives and explains that Alexander-husband has gone away. Armande falls in love with him at first sight and submits to him, which displeases the painting of Alexander and the maid Philomène. Armande then has dreams full of remorse. In the first dream, both Alexanders kill each other. In the second, the goddess of marriage, played by Philomène, condemns Armande and she is abducted by demons - bearded dancers. In the third, the suitor Oscar appears and dances with Armande on roller skates.
In the morning the maid Philomena cleans up in the salon and complains about her life. Alexandre-husband enters, without his beard, and says goodbye to Armande before leaving for the office. During the farewell, he discovers that his wife has also changed. After his departure Oscar enters. To his surprise, this time Armanda accepts his invitation for a cycling lesson. The portrait of the husband is left alone and expresses the 'moral' - that it is best if a husband does not tempt his wife.
Supraphon, 1982 (1984 LP, 1994 CD 11 2140-2 611) with René Tuček, , Vladimír Krejčík, Daniela Šounová-Brouková, Anna Barová, Janáček Opera Orchestra of Brno, conductor:  (recording in Czech).
"
Rostam and Sohrab,,,,,1963,,
Our Man in Havana,,,,,1963,,
