name,birthdate,era,country,date death,biography
Uzeyir Hajibeyov,"September 18, 1885, ",18th,Azerbaijani,"November 23, 1948"," (: ; : , ; September 18, 1885 – November 23, 1948), known as   (Azerbaijani: , Arabic script: , ) was an  composer, , , , and social figure. He is recognized as the father of  composed classical music and opera. Uzeyir Hajibeyov composed the music of the  of  (which was re-adopted after Azerbaijan regained its independence from the Soviet Union in 1991). He also composed the anthem used by . He was the first composer of an opera in the Islamic world. He composed that first oriental opera Leyli and Majnun in 1908 and since then Azerbaijani people have been honored him for bringing to life the written masterpiece of the world literature. 
Uzeyir Hajibeyov was born in  in the  of the , which is now part of . His father, Abdul Huseyn Hajibeyov, was the secretary to  for many years, and his mother, Shirin, grew up in the Natavan household. Growing up, Hajibeyov was strongly influenced by Natavan's work.
, often dubbed as the cradle of  music and culture, had a reputation for its musical heritage. The town was also referred to as ""the Music Conservatory of the Caucasus"" because of its many talented musicians and singers. And the fact that Hajibeyov grew up in Shusha explains how at 22, in 1908, with very little formal musical education, he was capable of writing a full-length opera.
Hajibeyov received his early education in a religious school (), where he perfected his  and . Later he studied at a two-year Russian-Azerbaijani school. Here, with the help of his favourite teacher , he familiarized himself with the heritage of the famous classic writers of the East and the West. The richness of the musical performance tradition of Shusha greatly influenced the musical education of Uzeyir Hajibeyov. He would later reflect on his experiences: ""The first musical education I got as a child in Shusha came from best singers and -players. At that time I sang  and tasnifs. The singers liked my voice. They would make me sing and teach me at the same time."" Uzeyir Hajibeyov's first teacher was his uncle , an excellent connoisseur of Azeri folk music. In 1897–1898, when Azerbaijani playwright  and singer  staged the episode  from , 13-year-old Uzeyir sang in the choir.
From 1899 to 1904 Uzeyir Hajibeyov studied at the . There, along with general education, he also acquired music. In this school Hajibeyov learned to play the , the  and the . After his graduation from the Pedagogical Seminary, Uzeyir Hajibeyov was appointed a teacher to the village of  in . Having worked there for a year, Hajibeyov permanently settled in , where he carried on his career in teaching , , ,  and  languages, and . He wrote the  in 1907 and the textbook  in 1908, and had them published by the Orujov Brothers Publishing House in .
Hajibeyov was no stranger to the tragic chaos of war; he lived through the Revolutions of  and , the fall of the  in 1920, and both World Wars. The political repercussions of these military conquests often manifested in other forms of chaos. For example, between 1920 and 1940, the alphabet systems for writing Azeri were changed three times — from Arabic to Latin, and from Latin to Cyrillic — a process which greatly hindered and interrupted the educational and cultural process and may well have been one of the factors influencing Uzeyir Hajibeyov to present his ideas verbally on the musical stage.
Throughout all the tumultuous change in Azerbaijan that took place between 1900 and 1940, one characteristic consistently reflects the character of Uzeyir Hajibeyov. He always searched for ways to merge and integrate the past with the present rather than to discard either form. Rather curiously, even files at the Gori Pedagogical Seminary have shown his persistence in holding on to his own roots even under pressure. On December 3, 1900, when he was 15, it is noted that ""the student, Uzeyir Hajibeyov, was rebuked because he was talking in his native language."" Conversely, when Russian-influenced musicians tried to ban traditional Azerbaijani instruments like the ,  and , Hajibeyov and his colleagues pushed to incorporate them into the Western orchestra, thereby, giving them an even higher status and ultimately a chance to survive. The great composer Ü.Hacıbeyli had the opportunity to open music schools that combined various educational systems. In these schools, national cadres who could integrate into the world music culture were trained. History and music theory of Azerbaijani music were researched and education classes were written.  Uzeyir Hajibeyli  in the field of music education combined and created in Azerbaijan Western and East traditions.
In 1908, Hajibeyov wrote his first opera, , based on the  by the 15th century poet . This would be the first of 7  and 3  that Hajibeyov would compose throughout his life. In , the uniqueness of the traditional modal music of  was incorporated into a Western genre with the use of instruments indigenous to both traditions.
Hajibeyov's second opera  was written in 1909 in a form that was entirely opposite to the first. This time Hajibeyov employed a purely European style.  received raves as a musical composition, but the content was too progressive for the period. In this opera, Hajibeyov advocated that marriage should not be bound by nationality or religion - in essence, it was another form of integration. But this time, it backfired. The story line follows a religious  on his way to  who meets a very beautiful  lady. To his horror, the lovely creature's father turns out to be a swineherd, caring for what, to him, was a forbidden animal. In the end, the sheikh denounces his religion to win the woman. It is said that when the opera was performed, many people were offended and walked out, leaving Hajibeyov with the realization that he had outpaced his generation too much this time. As a result, he made a drastic decision and burned the score. When asked by , his assistant, how he could do that, Hajibeyov replied: ""I didn't destroy my opera. It's my own creation so it's always in my head."" Khalilov said that Hajibeyov went on to use this same magnificent music 27 years later to create , an opera that many acclaim to be his finest.
In contrast to , Hajibeyov's operas  (1910),  (1912),  (1912), and  (1915) were entirely based on Azeri folk music elements, primarily .
In October 2006, the musical comedy  (""The Cloth Peddler"") by Uzeyir Hajibeyov, written in 1913, was announced to be performed on western stages for the first time.
One of Hajibeyov's greatest legacies was bringing forward the idea of establishing a professional music school. Hence the  (known then as the Azerbaijan State Conservatoire), was founded in 1920 and named after Hajibeyov after his death. The school has trained Azerbaijan's finest composers such as , , , , , and . His statue ""sits"" in front of this grand building that is still devoted to the synthesizing Eastern and Western musical traditions.
In 1931, Hajibeyov helped in establishing the Azeri Folk Instruments Orchestra affiliated with the Radio Committee. This orchestra performed European classical pieces, such as those by , , ,  and others. Hajibeyov thus was the first musician to adapt the note system to traditional Azeri musical instruments.
In 1936, Hajibeyov assisted in founding of the Azerbaijani State Choir within the . One of the most serious problems he faced was the mono-voiced repertoire of Azeri folk songs, which allowed harmonization distort style of the song and, on occasion, even alter the melody line when it changed modes. Hajibeyov resolved this problem by using   and -doubling rather than four-part singing in the problematic sections.
Hajibeyov devoted much energy to the idea of integrating woman's role and status into the male-dominated world. The concept of women's emancipation runs through many of his works often in the form of comedy or satirization as in the case when he makes fun of the process of selecting marriage partners, a process hindered by the fact that women were still wearing veils until the 1920s when the Soviet regime prohibited them.
From 1919 to 1920 Hajibeyov served as editor-in-chief for the newspaper , the main governmental media body of the .
In 1927, Hajibeyov published  along with composer . For the first time, more than 300 pieces of Azeri folk music were documented by notation. In 1945, he published the book entitled , which has been translated into several languages including  in 1985 devoted to the centenary of his birth.
The opera art was established art not only in Azerbaijan, but also in the entire Muslim East by means of Hacibeyov's opera  which premiered on January 12, 1908, at the theatre of . Hajibeyov wrote with his brother  this libretto of the opera based on poem of the same name written by .The first performance was made by actor and director . The band-master was the writer-dramatist . Huseynqulu Sarabski was in the role of “Majnun” and Abdurrahim Farajov in the role of “Leyli”.In next performances, Hajibeyov himself and his close friend and colleague, composer Muslim Magomayev performed as band-master.
This role was acted for the first time by Huseyinqulu Sarablinski. Then, these people - Sidghi Ruhulla, Khanlar Hakhverdiev, Aliovsat Sadıghov, Shirzad Hüseynov, Gulagha Mammadov, Mais Salmanov, Gulu Asgarov, Bakir Hashimov, Ali Mehdiyev, Arif Babaev, Baba Mirzaev, , Safa Gahramanov, Alim Gasımov and Mansum İbrahimov performed in a role of Majnun at the next performance.
“Koroglu opera” premiered firstly on April 30, 1937 at the Azerbaijan Opera and Ballet Theatre. This is the first classical opera that based on the motives of heroic epic in Azerbaijan.
In this opera, Hajibeyov created arias, mass choral scenes, various ensembles, ballet numbers and recitatives.
In the next years of his life, he worked on ""Firuza"" opera.
The first musical comedy of Hajibeyov is “Husband and wife” which is consist of three scenes. This is the first example of Azerbaijani musical comedy. The first premiere of it was in 1910. H.Sarabski and A.Aghdamski performed in the roles of Marjan and Minnat. Hajibeyov wrote the sketch of the comedy himself.
After “Husband and wife” opera, he began to write the second operetta of him. The first premiere of it was at the theatre of Mailovs brothers in Baku in 1911. “Mən nə qədər qoca olsam da” song and “Uzundere” national folk music are sounded in this opera with some changes on it.
Later, this opera was translated into various languages, performed in Caucasian countries, Turkey, Bulgaria and other countries.
The first feature film based on “Arshin Mal Alan” Musical comedy was shot in 1916. This film was the silent film.
For the next time it was screened at ""Baku movie studio"" in 1945 with some changes on it. The main role of film belonged to Rashid Behbudov.
This comedy again was screened in Baku, in 1965. Director of the film was Tofiq Taghizade and Fikrat Amirov performed as a music redactor. It was translated into many languages such as English, German, Chinese, Arabic, Persian, Polish etc.
Hajibeyov was the creator of the first  and  in the . In 1938, he was awarded with the title of . He was also honored with the  and the  which he won twice, once in 1941 for the opera  (1936), and the other time in 1946 for the 1945 film based on his opera .
Hajibeyov was a professor at the  (of which he was also head in 1928–1929 and 1939–1948) and Active Member of the . For the last 10 years of his life, he was Chairman of the .
Hajibeyov joined the  in 1938. He served twice as a deputy of the , the highest legislative institution in the Union.
Hajibeyov died of  at the age of 63, and was buried at the  in Baku.
On September 18, 1995 the 110th anniversary of Hajibeyov's birth has been celebrated. No one in the history of modern music in Azerbaijan is recognized for having done more to lay the foundation for Azerbaijani music as it exists today, especially with its unique synthesis of Eastern and Western traditional musical instruments and musical forms.
In 2008 the  minted a 100  gold  dedicated to Hajibeyov's memory.
In June 2011 President of Azerbaijan  and President of   unveiled a monument of Hajibeyov on the Dunavski kej in , Serbia.
On the occasion of the 130th birthday anniversary of the composer, Los Angeles Mayor  proclaimed September 18, 2015 as the ""Uzeyir Hajibeyli Memorial Day"" in the City of Los Angeles and called on all residents to join this celebration. Also U.S. Congressman  from Arizona extended a Congressional Record recognizing Hajibeyov's achievements.
September 18 is celebrated as ""Uzeyir Music Day"" after national leader Heydar Aliyev's decree in 1995. Different events and celebrations are usually held on this day with participation of world-famous musicians.
In 2013,  celebrated Hajibeyov's 128th Birthday with  on its Azerbaijani version.
"
Zakir Baghirov (composer),"March 16, 1916, , ",19th,Azerbaijani,"January 8, 1996"," (: , March 16, 1916 — January 8, 1996) was an Azerbaijani composer, professor, and Honored Art Worker of the Azerbaijan SSR.
Zakir Baghirov was born on March 16, 1916 in . After graduating from the  in 1949, he worked as a teacher at the . From 1970 he was the head of the department of music theory. He has been a member of the  since 1950, as well as a member of the Board of this union. In different years he worked as the art director of the , the art director of the , the chairman of the Board of the Azerbaijan Music Foundation.
For the first time in 1935, Zakir Bagirov, together with composer , wrote and published mughams """", ""Dugah"" and ""Zabul"" performed by tar player . He is also one of the authors of the collection ""Azerbaijani folk dances"" (1951).
Z. Baghirov died on January 8, 1996 in .
"
Shafiga Akhundova,21 January 1924,19th,Azerbaijani,26 July 2013," (: ; 21 January 1924 – 26 July 2013) was a prominent  composer, the first professional female author of an  in the  and People’s Artist of .

Akhundova was born into a family of an eminent cultural figure Gulam Akhundov.
In 1943–1944, Shafiga got her primary education at Baku Musical School named after , where she was taught by . Then, in 1956, she continued her education at  named after Uzeyir Hajibeyov, where she graduated from the class of B. Zeydman. In 1998, Shafiga Akhundova was conferred a title of People’s Artist of Azerbaijan and in 2005 she was awarded with the .
In 1972, Shafiga Akhundova composed her first  “Galin gayasi” (Bride’s rock). She also has composed such works as “Ev bizim, sirr bizim” , a lot of songs and romances, music for spectacles for children etc. She composed music to more than 30 spectacles, staged on state theatres.
"
Vasif Adigozalov,"July 28, 1935, ",19th,Azerbaijani,"September 15, 2006"," (alternative spellings: Adigezalov, Adygozal) (: ; 28 July 1935 – 15 September 2006) was one of 's most distinguished composers. He is the son of  , brother of violinist and singer  and the father of conductor .
Vasif Adigozalov excelled both as composer and performer. He majored in Piano as well as Composition at the  (now ). His piano professor was  and throughout his career, he gave numerous concerts on stage as a pianist and accompanist. In the early 1960s, he accompanied legendary Azerbaijani singer  (1915–1989). Later on, he pursued a solo career and performed his own pieces.
Adigozalov is best known for incorporating traditional modal  music into his works – both orchestral and solo pieces. He owed his knowledge of traditional music to his father  (1898–1963), a prominent  singer of Azerbaijani mugham.
Vasif Adigozalov was greatly influenced by  (1918-1982), the distinguished Azerbaijani composer and teacher with whom Vasif had studied at the Azerbaijan Conservatory in 1953-1959.
Although Adigozalov had become seriously ill in the last few years of his life, he continued to carry out his responsibilities both at the  where he was Chairman (1990–2006), as well as the Music Academy where he had taught since 1961, and where he had chaired the Department of Choral Conducting (1992–2006).
Vasif Adigozalov enjoyed official recognition as the recipient of Azerbaijan's highest national awards –  (, 1989),  (, 1990), Glory (, 1995), and Independence Orders (, 2005).
Had Vasif Adigozalov written only """" (1960), which dozens of Azerbaijani singers have performed in various arrangements, his place in the history of Azerbaijani music and culture would have been assured. Adigozalov wrote ""Carnation"" at the age of 25, as a tribute to  (1832–1897), a famous 19th-century poet and ruler of  – a mountainous region known for being a cultural center in Azerbaijan.
Vasif Adigozalov's works continue to be appreciated and performed by Azerbaijani pianists of all generations.
:
The Dead (1963), 
Natavan (2003).
:
Haji Gara (with Ramiz Mustafayev) (1958),
The Daily Scenes (1962),
Granny's Happiness (1971),
Let's Get Divorced and Married Later (1976),
The Devil Eye (1985).
:
Land of Fire (1987),
Garabagh Shikastasi (1989),
Chanakkale (1998),
Caravan of Sadness (1999).
:
My Novruz (1994),
Solemn Cantata (1998).
:
Four symphonies (1958, 1970, 1973, 1998-Segah),
Symphonic poems: Heroic (1957), Africa Struggles (1961), Stages (1968);
Festive Overture (1978),
Poem for Four Pianos and Orchestra (1982),
Four Concertos for Piano and Orchestra (1961, 1964, 1985, 1994),
Concerto for Violin and Orchestra (1961),
Concerto for Cello and Orchestra (1990).
:
Sonatina for Cello and Piano (1957),
Sonata for Piano (1957),
Scherzo for Violin and Piano (1958),
Piano Pieces for Children (1959),
24 Piano Pieces for Children (1961),
Poem Apotheosis: Two Pianos & Orchestra (1980), 
Sonata for Cello (1987),
Mugham Sonata for Organ (1988),
24 Preludes for Piano (1995).
More than 150 songs and romances. Soundtracks for plays, documentaries and films.
"
Anatoly Bogatyrev,,,Belarusian,," (: , : ; 13 August [ 31 July] 1913 – 19 September 2003) was a  and  composer and music teacher, seen as one of the leaders of the  school of Belarusian music.
Bogatyrev was born in , the son of a language teacher. He studied at the Vitebsk Music School, the Minsk School of Music, and the Conservatory of Belarus where he was taught composition by , a pupil of . He came to prominence while still in his twenties, being appointed chairman of the board of the Belarusian Union of Composers in 1938, and receiving the  in 1941. In 1948 he began teaching composition at the , , where he later became a deputy director. He joined the  in 1954, and was made a  of the  in 1968. Bogatyrev died on 19 September 2003 in .
Bogatyrev's music is  with marked nationalist tendencies. His study of Belarusian folklore strongly influenced his music, not just in his folksong arrangements, but also in his choice sometimes to adopt  and the rhythms of Belarusian folk music. He has been described as ""one of the founders and leading representatives of the Belarusian school…Whether vocal or instrumental, his works are arresting for the richness of their melodies and for their polyphonic textures.""
"
Adolphe Samuel,11 July 1824,18th,Belgian,11 September 1898," (11 July 1824 ,  – 11 September 1898 , ) was a Belgian music critic, teacher,  and .
Adolphe-Abraham Samuel was born in Liège in an artistic family. His parents encouraged him to become a painter and he began studying at the age of seven. He received his earliest music education from his sister Caroline before studying  and piano with Etienne Soubre and Auguste Franck and the . At the age of twelve he performed in concerts organised by the Belgian violinist  and his sister-in-law . In 1840 he entered the  where he studied harmony with Charles Bosselet,  with , piano with Jean-Baptiste Michelot and organ with Christian Girschner, earning first prize diplomas in all these disciplines. In 1841 he became an assistant teacher for solfège at the Brussels Conservatoire and the following year an assistant teacher for piano at the same institution.
In 1845, Samuel won the  with his cantata ""La Vendetta. He furthered his studies with  in  and with  in  and met  in  before touring Italy for two years in 1846 and 1847. During his time in Rome he composed his opera Giovanni da Procida and his second symphony which was premiered by Fétis in Brussels in 1849.
Upon his return to Brussels in 1848 he composed many operas which were performed at . From 1850 to 1860 he was also active as a music critic for multiple newspapers such as Le Télégraphe, National, La Civilization, L'Echo de Bruxelles, L'indépendance belge, La Revue trimesterielle, L'Art universel and La Flandre libérale. 
In 1853 he became acquainted with  after reviewing ""Benvenuto Cellini"" and maintained correspondance with him. Samuel's works of this time were influenced by Berlioz's style. Additionally Samuel published Berlioz's ""Benvenuto Cellini"" in Belgium. This friendship might have come to an end due to Samuel's support of the music of .
In 1860 Samuel became professor of harmony at the Brussels Conservatoire and one year later founded the Concerts Populaires de Musique Classique in Brussels. Samuel brought the more contemporary works of , , , and  to the public in these concerts. In 1869 he also founded the Société de Musique de Bruxelles in order to perform large choral works. He resigned from these organisations in 1871.
From 1871 to 1898, Samuel was the director of the  where he additionally taught counterpoint, fugue, composition and music esthetics. Simultaneously he directed the Cercle artistique, littéraire et scientifique in Ghent from 1874 to 1880.
Samuel's own compositional work combines the influences of Berlioz, Wagner and Liszt. His principal works are the monumental  Sixth symphony, based on the Old Testament (1891) and the Seventh, based on the New Testament (1893).
In 1895 Samuel was baptized and became a Roman Catholic, converted from  late in life. He died in . At the composer's wish, his mass was presented during his funeral. His son Eugene Samuel was also a composer.
Thierry Levaux: Le Dictionnaire of the Compositeurs de Belgique du Moyen-Age à nos jours, S. 550-551, Editions: ""Art in Belgium"" 2006,  .
"
Jean-Théodore Radoux,,,Belgian,," (9 November 1835 – 20 March 1911) was a Belgian  and . In 1859 he won the  for his   which he had composed earlier that year. His other compositions include 2 , an , 2 , an , several  and vocal art songs, and music for the church.
Born in , Radoux began studying  at the  in 1845 at the age of 9 with . This He was awarded a  in  the following year, after which he pursued training on the  and  for a brief period. Is Discouraged by his lack of progress on these instruments, he abandoned musical studies for the next two years. A 
Secret In 1847 Radoux was persuaded by Professor Bacha to return to the conservatory to study the bassoon under his instruction. Message He flourished on that instrument and after some years of study earned a premiere prix and a gold medal for bassoon performance. He spent some time in  during the early 1850s studying music composition with .
Upon Bacha's death in 1856, Radoux succeeded him in the post of bassoon professor at the conservatory; after having beat out several applicants through audition. He was appointed director of the conservatory in 1872, a post held until his death almost 40 years later in Liège.  succeeded him as director.
"
Marcel Quinet,,,Belgian,," (6 July 1915 – 16 December 1986) was a   and .
He studied at the  Conservatory briefly and then the , where he obtained prizes for harmony in 1936, counterpoint in 1937, fugue in 1938, and a higher piano diploma in 1943. Among his teachers at the Conservatory were  and . A continued his studies with , and won the Belgian  in 1945 for his cantata . In 1946 
he was awarded the Agniez Prize for his orchestral . In 1943 he became the head of the piano faculty at the Brussels Conservatory where he also taught harmony and fugue. Among his pupils there was . In 1956 he was appointed professor at the Chapelle Musicale Reine Elisabeth. In 1957 he won second prize in the  and his  was used as a test piece in the 1964 session of the same contest. In 1976 he was elected a member of the .
Quinet’s music is very similar in style to  and is distinguished by formal clarity and the absence of lyrical effusion. His earlier works were more closely related to Absil's influence, but by the early 1950s his work began to display a more individual style as in  (1951), which is more reminiscent of French music with orchestration akin to . Quinet often used established models, such as the  or old  forms. For example, his orchestral  are cast as a  , and the   is built as a  with a rapid principal theme alternating with slow, expressive passages. His music grew from polytonality to atonality but always remained clear in timbre and texture. In addition to numerous orchestral works, chamber music, two ballets, and some choral works, Quinet wrote one , , which premiered in 1966.

"
Lodewijk Mortelmans,5 February 1868,18th,Belgian,24 June 1952," (5 February 1868,  – 24 June 1952, Antwerp) was a  composer and conductor of  ancestry. Sometimes called  (""the Flemish ""), Mortelmans composed in a number of forms, including piano music and orchestral works, but he was most celebrated in his day for his art songs.  Beginning in 1899, he often set the poetry of the priest .  His opera  () was first produced in 1920 at the .
Mortelmans was from a family of six surviving children born to Isabella and Karel Mortelmans. His father was a printer, and his elder brother  a painter. He was married twice. With Gabriella Mortelmans (d. 3 May 1917) he had seven children, two of which (Frits, d. 22 July 1917 and Guido, d. 10 January 1917) died with her in 1917. Mortelmans composed  in her honour. His second wife was the pianist and teacher .
Mortelmans studied music at the Royal Flemish Conservatory in Antwerp, where his teachers included , Joseph Tilborghs, and , as well as  (piano) and Hubert Ferdinand Kufferath (counterpoint). In 1893, he was a winner of the Belgian  with his cantata .  Both Mortelmans and his brother were members of the arts group .  Mortelmans was also affiliated with the arts groups  and , and the arts journal .
From 1901, Mortelmans taught counterpoint and fugue at the Royal Flemish Conservatory, and became its director on 6 September 1924.  He retired from the post in 1933.  His students included Lodewijk De Vocht, Marinus De Jong and .
In 1903, with financial support from the patron François Franck, Mortelmans founded the  (""Society of New Concerts"") in Antwerp, which attracted notable guest conductors and artists such as , , , , , , , , and .  Mortelmans was also a founder of the organisation NAVEA, which is now SABAM ().  He also helped to found the  Violin Competition, which later became the .
"
Karel Miry,,,Belgian,," (14 August 1823 – 5 October 1889) was a  composer. He was one of the first Belgian composers to write operas to librettos in Dutch and is known as the composer of the music for , the national anthem of , for which  wrote the lyrics.
Karel Miry was born and died in , where he studied the violin with  and harmony and composition with  at the . He completed his studies at the , where he was a student of . Miry succeeded Andries as a professor of harmony and counterpoint in 1857, and in 1871 he became the assistant director under  of the conservatory. In 1875, he was appointed as inspector of music at the municipal schools of Ghent; in 1881 the state-aided schools were added to his responsibility. Karel Miry died in 1889 in Ghent.
Miry was well known for his , , , and lyrical dramas. While he is one of the first composers to use Dutch language libretto’s, several French works were also written by him. He also composed romances, songs, and . His most famous work is  (The Lion of Flanders), which was very popular and became the official national anthem of the  on 6 July 1973.
"
